month,Incomplete RTT pathways_Median wait (weeks),Incomplete RTT pathways_92nd percentile (weeks),Incomplete RTT pathways_No. within 18 weeks,Incomplete RTT pathways_% within 18 weeks,Incomplete RTT pathways_No. > 18 weeks,Incomplete RTT pathways_No. > 52 weeks,Incomplete RTT pathways_% > 52 weeks,Incomplete RTT pathways_No. > 78 weeks,Incomplete RTT pathways_No. > 104 weeks,Incomplete RTT pathways_Total waiting (mil),Admitted (unadjusted) RTT pathways_Median wait (weeks),Admitted (unadjusted) RTT pathways_95th percentile (weeks),Admitted (unadjusted) RTT pathways_No. within 18 weeks,Admitted (unadjusted) RTT pathways_No. > 52 weeks,Admitted (unadjusted) RTT pathways_No. of pathways (all),NonAdmitted RTT pathways_Median wait (weeks),NonAdmitted RTT pathways_95th percentile (weeks),NonAdmitted RTT pathways_No. within 18 weeks,NonAdmitted RTT pathways_No. > 52 weeks,NonAdmitted RTT pathways_No. of pathways (all)
13-Sep,6,16.6,2734352,0.94,168964,387,0,,,2.9,9.4,24,272272,268,310119,5.7,16.8,820396,165,848363
13-Oct,5.6,16.7,2742336,0.94,169907,257,0,,,2.91,9.2,23.8,296021,257,336217,5.1,16.9,900677,224,932104
13-Nov,5.7,16.7,2705480,0.94,173649,214,0,,,2.88,8.9,23.8,283626,223,322227,5.1,17,848502,134,879710
13-Dec,6.3,17,2695700,0.94,184456,316,0,,,2.88,8.4,23.5,240196,165,269715,4.9,16.6,739866,66,764921
14-Jan,6.2,17.1,2715719,0.94,189612,430,0,,,2.91,9.6,24.9,286375,305,328754,5.8,17.1,885835,223,920033
14-Feb,5.4,17.1,2719650,0.93,191555,539,0,,,2.91,9.7,24.9,260945,323,299229,4.7,17.1,795478,176,826670
14-Mar,5.5,16.9,2729396,0.94,182046,488,0,,,2.91,8.8,25,278082,348,319413,4.8,17.1,840196,193,873254
14-Apr,5.9,16.3,2831337,0.94,188774,516,0,,,3.02,8.7,24.6,261532,300,298747,5,16.9,816658,166,848190
14-May,6.2,16.9,2903097,0.94,193832,572,0,,,3.1,9.3,25.4,265798,376,301901,5.5,16.9,825424,189,855875
14-Jun,5.8,16.9,2939344,0.94,196752,594,0,,,3.14,9.5,25.2,276972,332,318083,5.4,17.2,881406,252,916466
14-Jul,5.9,17.2,2864937,0.93,205313,532,0,,,3.07,9,24.9,285891,369,329444,5.2,17.4,898797,199,938084
14-Aug,6.4,17.3,2878288,0.93,212237,490,0,,,3.09,9.1,25.7,243435,390,285493,5.5,17.7,740727,259,776523
14-Sep,6.2,17.1,2795366,0.94,195871,362,0,,,2.99,9.7,25.8,275296,344,322665,6,17.9,862269,158,906729
14-Oct,5.8,17.2,2801516,0.93,204390,381,0,,,3.01,9.5,25.1,284770,293,330235,5.4,17.9,887597,113,933443
14-Nov,5.8,17.1,2790268,0.93,199990,362,0,,,2.99,9.3,25.6,268173,265,315240,5.4,18.3,828839,95,875313
14-Dec,6.5,17.5,2718870,0.93,209544,399,0,,,2.93,8.5,23.9,246786,162,279866,5.1,17.6,783711,121,821097
15-Jan,6.7,17.7,2706862,0.93,217183,440,0,,,2.92,9.9,25.4,260213,225,303346,6.1,18,847819,890,892977
15-Feb,5.6,17.3,2725305,0.93,202908,442,0,,,2.93,10.2,26.1,256214,198,302795,5.2,18.4,801810,134,847183
15-Mar,5.6,17.2,2800845,0.93,206032,475,0,,,3.01,9.2,26.2,283791,228,334830,5,17.9,885466,382,931546
15-Apr,5.9,16.5,2821088,0.93,201424,413,0,,,3.02,9.1,26,249141,185,292265,5.5,17.9,805734,141,847010
15-May,6,17,2965989,0.94,206638,634,0,,,3.17,9.4,26.3,251104,193,290407,5.5,17.6,788093,128,825082
15-Jun,6,17.2,2980377,0.93,216748,751,0,,,3.2,9.5,26.5,281526,212,328558,5.6,17.9,922856,186,970355
